                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 3.5638,                 6.2523,                 0.9039,                0.02354,                0.30208,                 0.0209,                  0.006,                 3.4928,                 6.0166,                 0.9366,             0.00075878,             0.00075878,             0.00075878
                     12,                 3.6032,                 5.8113,                0.88451,                0.01354,                0.40104,                0.01897,                0.00448,                 3.5423,                 5.3482,                0.93316,             0.00075053,             0.00075053,             0.00075053
                     13,                   3.57,                 5.3266,                0.88443,                0.01487,                0.44792,                0.02229,                0.00642,                 3.3601,                 4.7393,                0.91922,             0.00074229,             0.00074229,             0.00074229
                     14,                 3.4385,                 4.9745,                0.88064,                0.01702,                0.46354,                0.02759,                 0.0065,                 3.4337,                 4.4556,                0.93101,             0.00073404,             0.00073404,             0.00073404
                     15,                 3.5172,                 4.6155,                0.88424,                 0.0135,                0.39583,                0.02377,                0.00661,                 3.4121,                 4.2006,                0.91521,             0.00072579,             0.00072579,             0.00072579
                     16,                 3.4979,                 4.5074,                0.87684,                0.01418,                0.40625,                0.01696,                0.00443,                 3.4856,                 4.0235,                0.92908,             0.00071755,             0.00071755,             0.00071755
                     17,                 3.6085,                  4.104,                 0.8859,                0.02961,                0.27604,                0.02713,                0.00677,                  3.476,                 3.8084,                 0.9265,              0.0007093,              0.0007093,              0.0007093
                     18,                 3.4885,                 4.0631,                0.87316,                0.01102,                0.36979,                0.02116,                 0.0055,                 3.4996,                 3.8282,                0.93321,             0.00070105,             0.00070105,             0.00070105
                     19,                  3.496,                 3.8948,                0.89347,                0.01179,                0.40625,                0.01772,                0.00386,                 3.4739,                 3.8168,                 0.9352,             0.00069281,             0.00069281,             0.00069281
                     20,                 3.5986,                 3.9509,                0.89003,                0.01704,                0.40625,                0.02939,                0.00659,                 3.2922,                 3.6248,                0.91438,             0.00068456,             0.00068456,             0.00068456
                     21,                 3.4266,                 3.6569,                0.86679,                0.01653,                0.39583,                0.02338,                0.00609,                 3.3714,                 3.5588,                0.91162,             0.00067631,             0.00067631,             0.00067631
                     22,                 3.5107,                 3.6026,                0.88334,                0.01444,                0.41667,                0.02617,                0.00616,                 3.3968,                 3.3592,                0.92106,             0.00066807,             0.00066807,             0.00066807
                     23,                 3.4669,                 3.5187,                0.87597,                0.01645,                0.36458,                0.02919,                0.00787,                 3.4867,                 3.3837,                0.91804,             0.00065982,             0.00065982,             0.00065982
                     24,                 3.6267,                 3.5278,                 0.8783,                0.01409,                0.41146,                0.02477,                0.00648,                 3.2589,                 3.2848,                0.91148,             0.00065157,             0.00065157,             0.00065157
                     25,                 3.4342,                 3.4069,                0.87053,                0.03358,                0.24479,                0.03113,                0.00709,                  3.213,                 3.2806,                0.91045,             0.00064333,             0.00064333,             0.00064333
                     26,                 3.4373,                 3.3819,                0.87104,                0.01919,                0.39583,                0.03051,                0.00823,                  3.397,                 3.2353,                 0.9116,             0.00063508,             0.00063508,             0.00063508
                     27,                 3.4205,                 3.4121,                0.87054,                0.03001,                0.28646,                0.02661,                0.00685,                 3.2439,                 3.2656,                0.91695,             0.00062683,             0.00062683,             0.00062683
                     28,                 3.4379,                 3.2882,                0.86737,                0.01942,                0.49479,                0.03387,                0.00882,                 3.2304,                 3.0827,                0.91249,             0.00061859,             0.00061859,             0.00061859
                     29,                 3.3728,                 3.2141,                0.85866,                 0.0292,                0.32812,                0.03163,                0.01008,                 3.0322,                 2.9636,                0.89879,             0.00061034,             0.00061034,             0.00061034
                     30,                 3.5224,                 3.3056,                0.88211,                0.03713,                 0.1875,                 0.0292,                0.00679,                 3.1785,                 3.1319,                0.91861,             0.00060209,             0.00060209,             0.00060209
                     31,                 3.4089,                 3.2633,                 0.8705,                0.01609,                0.42708,                0.03794,                0.00835,                 3.3834,                 3.0838,                0.92126,             0.00059385,             0.00059385,             0.00059385
                     32,                 3.4009,                 3.2397,                0.87074,                0.05933,                0.13542,                0.03844,                0.00811,                  3.439,                 2.9963,                0.92284,              0.0005856,              0.0005856,              0.0005856
                     33,                 3.3466,                 3.1413,                0.88616,                0.01947,                0.39062,                0.03132,                0.00823,                 3.2557,                 3.0206,                0.91395,             0.00057735,             0.00057735,             0.00057735
                     34,                 3.4111,                 3.2141,                0.86727,                0.01924,                0.39583,                 0.0309,                0.00819,                 3.1888,                 3.1354,                0.90113,             0.00056911,             0.00056911,             0.00056911
                     35,                 3.4831,                 3.1323,                 0.8597,                0.03462,                0.27083,                0.03308,                0.00855,                 3.2191,                 3.0089,                0.90744,             0.00056086,             0.00056086,             0.00056086
                     36,                 3.2668,                 3.0523,                0.87434,                0.01565,                0.47396,                0.03616,                0.01114,                 3.1103,                 2.9854,                0.89911,             0.00055261,             0.00055261,             0.00055261
                     37,                 3.3778,                 3.1198,                0.88341,                0.04687,                0.23958,                0.03608,                 0.0085,                 3.3348,                 2.9255,                 0.9211,             0.00054437,             0.00054437,             0.00054437
                     38,                 3.4265,                 3.0918,                0.86086,                0.02013,                0.45833,                0.04181,                0.00991,                 3.3025,                 3.0867,                0.91068,             0.00053612,             0.00053612,             0.00053612
                     39,                 3.4381,                 3.1264,                0.86789,                0.01858,                    0.5,                0.02994,                0.00821,                 3.2629,                 2.9178,                0.91314,             0.00052787,             0.00052787,             0.00052787
                     40,                  3.436,                 3.1112,                0.86773,                0.02115,                0.51562,                0.03936,                0.00988,                 3.3104,                 2.8586,                0.91757,             0.00051963,             0.00051963,             0.00051963
                     41,                 3.3713,                 2.9601,                0.86074,                 0.0226,                0.45833,                 0.0358,                0.00943,                 3.2349,                 2.9126,                 0.9122,             0.00051138,             0.00051138,             0.00051138
                     42,                 3.3188,                 3.0424,                0.87578,                0.02259,                0.46875,                0.04546,                0.01099,                 3.2648,                 2.8017,                0.90962,             0.00050313,             0.00050313,             0.00050313
                     43,                 3.3476,                  3.054,                 0.8731,                0.02069,                    0.5,                0.04232,                0.01111,                 3.2141,                 2.7915,                0.90314,             0.00049489,             0.00049489,             0.00049489
                     44,                 3.3803,                 2.9232,                0.86383,                0.02481,                0.44792,                0.04614,                0.01211,                 3.1838,                 2.7606,                0.90651,             0.00048664,             0.00048664,             0.00048664
                     45,                 3.3768,                 2.8894,                0.87238,                0.02261,                0.44271,                0.03995,                0.01141,                 3.0774,                 2.7451,                0.90133,             0.00047839,             0.00047839,             0.00047839
                     46,                 3.3687,                 2.9982,                0.86418,                0.06118,                0.15451,                0.04236,                0.01279,                 3.2656,                 2.8037,                  0.907,             0.00047015,             0.00047015,             0.00047015
                     47,                 3.3967,                 2.8945,                0.87136,                0.03534,                0.42708,                 0.0484,                0.01287,                 3.1467,                 2.7136,                0.90204,              0.0004619,              0.0004619,              0.0004619
                     48,                 3.2916,                 2.8564,                0.86172,                0.07701,                0.14583,                 0.0559,                0.01434,                 3.1036,                 2.7186,                0.90211,             0.00045365,             0.00045365,             0.00045365
                     49,                 3.2296,                 2.9068,                0.86509,                0.07127,                0.15104,                0.04994,                0.01246,                  3.112,                  2.705,                0.90745,             0.00044541,             0.00044541,             0.00044541
                     50,                 3.2869,                  2.867,                 0.8606,                0.02704,                0.44363,                0.04464,                 0.0139,                 3.1286,                 2.7172,                0.89831,             0.00043716,             0.00043716,             0.00043716
                     51,                 3.2584,                 2.8255,                0.86026,                0.04185,                0.24479,                0.04407,                0.01245,                  3.181,                 2.6764,                0.90962,             0.00042891,             0.00042891,             0.00042891
                     52,                 3.2799,                 2.9431,                0.85666,                0.04993,                0.22917,                 0.0449,                0.01362,                 3.0718,                 2.7605,                0.90225,             0.00042066,             0.00042066,             0.00042066
                     53,                 3.3142,                 2.8877,                0.86979,                0.04512,                0.16667,                0.03321,                0.01039,                 3.2719,                 2.8237,                0.90344,             0.00041242,             0.00041242,             0.00041242
                     54,                 3.3353,                 2.9181,                 0.8611,                0.10254,                0.15625,                0.04939,                0.00991,                 3.3579,                 2.8428,                0.91392,             0.00040417,             0.00040417,             0.00040417
                     55,                 3.2299,                 2.9518,                0.84782,                0.04501,                0.24479,                 0.0467,                  0.016,                  3.093,                  2.694,                 0.9007,             0.00039592,             0.00039592,             0.00039592
                     56,                 3.2335,                 2.8243,                0.86151,                0.08127,                0.13542,                0.05869,                 0.0129,                 3.1598,                 2.7034,                0.90298,             0.00038768,             0.00038768,             0.00038768
                     57,                 3.2818,                 2.9051,                0.84646,                0.07215,                0.10938,                0.04378,                0.01338,                  3.164,                 2.6968,                0.90441,             0.00037943,             0.00037943,             0.00037943
                     58,                 3.2653,                 2.7864,                 0.8438,                 0.0961,                0.09896,                0.05511,                0.01253,                 3.2043,                 2.6562,                0.90145,             0.00037118,             0.00037118,             0.00037118
                     59,                 3.1759,                 2.8894,                0.84715,                0.04426,                0.38021,                0.05122,                 0.0149,                 3.0184,                 2.6741,                0.89461,             0.00036294,             0.00036294,             0.00036294
                     60,                  3.208,                 2.7407,                0.85187,                0.23036,                0.09896,                 0.0591,                0.01656,                 3.0944,                 2.6427,                0.89984,             0.00035469,             0.00035469,             0.00035469
                     61,                 3.2292,                 2.8198,                0.84539,                0.03784,                0.35938,                 0.0479,                0.01306,                 3.1132,                 2.7249,                0.89944,             0.00034644,             0.00034644,             0.00034644
                     62,                 3.2699,                 2.7418,                0.85558,                0.02853,                0.35938,                0.03537,                0.00953,                 3.2257,                 2.7222,                 0.9153,              0.0003382,              0.0003382,              0.0003382
                     63,                 3.2386,                 2.7193,                0.84683,                0.05467,                0.16146,                0.03811,                0.01143,                 3.2153,                 2.7407,                0.90309,             0.00032995,             0.00032995,             0.00032995
                     64,                 3.2236,                 2.7916,                0.85692,                 0.0776,                0.18896,                0.05581,                0.01671,                 3.0653,                  2.658,                0.89712,              0.0003217,              0.0003217,              0.0003217
                     65,                 3.2579,                 2.8244,                0.86186,                0.04966,                0.17188,                0.04163,                0.01017,                 3.2389,                 2.7286,                0.90474,             0.00031346,             0.00031346,             0.00031346
                     66,                 3.2961,                 2.8145,                0.84833,                0.19606,                0.08333,                 0.0416,                0.01063,                 3.1721,                 2.7598,                0.90109,             0.00030521,             0.00030521,             0.00030521
                     67,                 3.2316,                 2.8468,                0.85148,                0.02417,                0.46875,                0.04333,                0.01231,                 3.1703,                 2.7092,                0.89737,             0.00029696,             0.00029696,             0.00029696
                     68,                 3.1986,                 2.8497,                0.84789,                0.07906,                0.06939,                0.05509,                0.01155,                 3.1982,                  2.678,                0.90002,             0.00028872,             0.00028872,             0.00028872
                     69,                 3.2533,                 2.8244,                0.86222,                0.06647,                0.18229,                0.04521,                  0.013,                 3.1459,                 2.6704,                0.89738,             0.00028047,             0.00028047,             0.00028047
                     70,                  3.251,                 2.7404,                0.86295,                0.06805,                0.08821,                0.04226,                0.01326,                 3.0941,                 2.6566,                0.89633,             0.00027222,             0.00027222,             0.00027222
                     71,                 3.2043,                 2.7699,                0.85869,                0.06765,                0.22132,                0.05326,                0.01476,                  3.033,                 2.6165,                0.89746,             0.00026398,             0.00026398,             0.00026398
                     72,                 3.1941,                 2.7668,                0.84537,                0.04784,                0.22196,                0.04541,                0.01209,                 3.2155,                 2.6262,                0.90159,             0.00025573,             0.00025573,             0.00025573
                     73,                 3.2759,                 2.7107,                0.84436,                0.04225,                0.24479,                0.04767,                0.01306,                 3.1527,                 2.5676,                0.89827,             0.00024748,             0.00024748,             0.00024748
                     74,                 3.3108,                   2.71,                0.85799,                0.11015,                0.12375,                 0.0673,                0.01565,                 3.0231,                  2.601,                0.89485,             0.00023924,             0.00023924,             0.00023924
                     75,                 3.2475,                 2.8311,                0.85243,                0.07253,                0.09575,                0.06246,                0.01429,                  3.142,                 2.6177,                0.90205,             0.00023099,             0.00023099,             0.00023099
                     76,                 3.1968,                 2.6739,                0.84744,                0.08619,                0.09896,                0.05197,                0.01237,                 3.0918,                 2.6296,                0.89789,             0.00022274,             0.00022274,             0.00022274
                     77,                 3.2628,                 2.7515,                0.84707,                0.06276,                0.20312,                0.05161,                0.01329,                 3.1479,                 2.6407,                0.89701,              0.0002145,              0.0002145,              0.0002145
                     78,                  3.196,                  2.688,                0.86437,                0.04526,                0.34375,                0.04903,                0.01313,                 3.1796,                 2.6575,                0.90032,             0.00020625,             0.00020625,             0.00020625
                     79,                 3.1354,                 2.7459,                0.85431,                0.11728,                0.10417,                0.05738,                 0.0136,                 3.1415,                  2.584,                0.89744,               0.000198,               0.000198,               0.000198
                     80,                 3.1543,                 2.6771,                0.86106,                0.08349,                0.18229,                0.05793,                0.01435,                 3.1363,                 2.5706,                0.89645,             0.00018976,             0.00018976,             0.00018976
                     81,                 3.1193,                 2.7185,                0.86153,                0.06667,                0.18229,                0.04498,                 0.0116,                 3.1498,                 2.6447,                0.89596,             0.00018151,             0.00018151,             0.00018151
                     82,                 3.2592,                 2.7351,                0.85804,                0.08465,                0.13392,                0.05189,                0.01231,                 3.1162,                 2.6434,                0.89712,             0.00017326,             0.00017326,             0.00017326
                     83,                 3.1139,                 2.6948,                0.84749,                0.05554,                0.25521,                0.04704,                 0.0128,                 3.0955,                 2.5662,                0.89626,             0.00016502,             0.00016502,             0.00016502
                     84,                 3.1974,                 2.6795,                0.85988,                0.03747,                0.32292,                0.04246,                0.01279,                 3.0406,                 2.6366,                 0.8943,             0.00015677,             0.00015677,             0.00015677
                     85,                 3.2509,                 2.6843,                0.84598,                0.07791,                0.18224,                0.05316,                0.01273,                 3.0795,                 2.6264,                0.89382,             0.00014852,             0.00014852,             0.00014852
                     86,                  3.176,                 2.6898,                0.84845,                0.07594,                0.14062,                0.04422,                0.01272,                 3.1155,                  2.623,                0.89274,             0.00014028,             0.00014028,             0.00014028
                     87,                 3.0631,                 2.6923,                0.84013,                0.05346,                0.23438,                0.04821,                 0.0138,                 3.0451,                 2.5856,                0.89245,             0.00013203,             0.00013203,             0.00013203
                     88,                 3.1384,                 2.5908,                0.84805,                0.05813,                0.23438,                0.05567,                0.01443,                 3.0991,                 2.5694,                0.89519,             0.00012378,             0.00012378,             0.00012378
                     89,                 3.1841,                 2.6773,                0.84814,                0.06853,                0.14583,                 0.0541,                0.01333,                 3.1002,                 2.6391,                0.89356,             0.00011554,             0.00011554,             0.00011554
                     90,                 3.0302,                 2.6325,                0.86496,                0.07637,                0.17188,                0.05466,                0.01468,                 3.0659,                 2.5487,                0.89264,             0.00010729,             0.00010729,             0.00010729
                     91,                 3.2079,                 2.6555,                0.85619,                0.07062,                0.21341,                0.05836,                0.01533,                 3.0665,                 2.5891,                0.89195,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     92,                 3.0995,                 2.6589,                0.87047,                0.05053,                0.22396,                0.04989,                0.01398,                 3.0906,                 2.5855,                0.89128,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     93,                 3.0841,                 2.7213,                0.86021,                0.06463,                  0.192,                0.04489,                0.01246,                 3.1262,                 2.6201,                0.89106,              8.255e-05,              8.255e-05,              8.255e-05
                     94,                 3.1454,                 2.6116,                0.85927,                0.06712,                0.18229,                0.04707,                0.01323,                 3.0563,                 2.6002,                0.89144,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     95,                 3.1493,                 2.6085,                0.85864,                0.07733,                0.14583,                0.05216,                0.01396,                 3.0583,                 2.6004,                0.89127,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     96,                  3.129,                 2.6686,                0.85433,                0.05084,                 0.2202,                0.04499,                0.01356,                 3.0956,                 2.6021,                0.89095,              5.781e-05,              5.781e-05,              5.781e-05
                     97,                 3.1016,                 2.6362,                0.85691,                0.06182,                0.21179,                0.04669,                0.01452,                 3.0774,                 2.5947,                0.89042,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     98,                 3.0594,                 2.6518,                0.85614,                0.06845,                0.16667,                 0.0456,                0.01357,                 3.0678,                 2.5906,                0.89124,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     99,                 3.0564,                 2.6146,                0.86701,                0.06088,                0.18468,                0.04764,                0.01408,                 3.0537,                 2.5845,                0.89038,              3.307e-05,              3.307e-05,              3.307e-05
                    100,                 3.1315,                 2.6542,                0.85823,                0.06912,                0.11458,                 0.0504,                0.01413,                 3.0647,                 2.5875,                0.89054,             2.4823e-05,             2.4823e-05,             2.4823e-05
