                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3139,                 50.053,                 1.0276,                      0,                      0,                      0,                      0,                   3.82,                  381.2,                0.95251,             0.00027304,             0.00027304,             0.00027304
                      2,                 3.8166,                 30.337,                 0.9199,                 0.0008,                0.19792,                0.01508,                0.00366,                 3.6594,                 27.649,                0.95868,             0.00054525,             0.00054525,             0.00054525
                      3,                 3.8489,                 27.206,                 0.9203,                0.14718,                0.02083,                0.01004,                 0.0022,                   3.59,                 21.562,                 0.9435,             0.00081197,             0.00081197,             0.00081197
                      4,                 3.7859,                 22.574,                0.92428,                0.01926,                0.19271,                0.01914,                0.00435,                 3.7816,                 19.152,                 0.9642,             0.00080826,             0.00080826,             0.00080826
                      5,                 3.8124,                 17.996,                0.92907,                0.01651,                0.30729,                0.01711,                  0.004,                 3.4692,                 14.153,                 0.9309,             0.00080826,             0.00080826,             0.00080826
                      6,                 3.7538,                  13.27,                0.89385,                0.01328,                0.26042,                 0.0183,                0.00433,                 3.7512,                 13.037,                0.94848,             0.00080001,             0.00080001,             0.00080001
                      7,                 3.8446,                 11.753,                0.90653,                0.01644,                0.30729,                0.02176,                0.00673,                 3.5276,                 9.8486,                0.93166,             0.00079177,             0.00079177,             0.00079177
                      8,                 3.7539,                 9.8119,                0.88824,                0.01309,                0.33333,                0.01888,                0.00451,                 3.5524,                 8.8742,                0.92977,             0.00078352,             0.00078352,             0.00078352
                      9,                 3.7034,                 8.3864,                0.89492,                 0.0166,                0.40625,                 0.0195,                0.00556,                 3.4209,                 7.0742,                0.93491,             0.00077527,             0.00077527,             0.00077527
                     10,                 3.6464,                 7.1135,                0.88939,                0.00902,                0.33333,                0.01685,                0.00443,                 3.4249,                 6.2594,                0.92978,             0.00076703,             0.00076703,             0.00076703
