                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5285,                 0.7761,                 1.0172,                0.98758,                0.98628,                0.99382,                0.52053,                 1.6991,                0.73342,                 1.0744,             0.00069693,             0.00069693,             0.00069693
                     36,                 1.5165,                0.78511,                 1.0221,                0.95386,                0.98318,                0.98964,                0.50917,                 1.6843,                0.76373,                 1.0732,             0.00069281,             0.00069281,             0.00069281
                     37,                 1.5016,                0.78659,                 1.0293,                0.97859,                 0.9966,                  0.995,                0.54822,                 1.6637,                 0.7252,                 1.0621,             0.00068868,             0.00068868,             0.00068868
                     38,                 1.5271,                0.75558,                 1.0237,                0.98902,                0.99202,                  0.995,                0.53438,                 1.6721,                0.69927,                 1.0634,             0.00068456,             0.00068456,             0.00068456
                     39,                 1.5054,                0.75549,                 1.0155,                0.97936,                0.99487,                0.99456,                0.52081,                 1.6959,                0.74043,                 1.0698,             0.00068044,             0.00068044,             0.00068044
                     40,                 1.5287,                0.76373,                 1.0198,                0.98857,                0.99152,                  0.995,                0.54744,                 1.6425,                0.73413,                 1.0539,             0.00067631,             0.00067631,             0.00067631
                     41,                 1.4817,                0.75557,                 1.0165,                0.98757,                      1,                  0.995,                0.54361,                  1.622,                0.69011,                 1.0484,             0.00067219,             0.00067219,             0.00067219
                     42,                 1.5019,                0.73492,                 1.0121,                0.98767,                0.99219,                 0.9935,                0.53091,                 1.6855,                0.70412,                 1.0696,             0.00066807,             0.00066807,             0.00066807
                     43,                 1.4714,                0.73622,                 1.0094,                0.98758,                0.99454,                  0.995,                0.52251,                 1.7059,                0.71291,                 1.0792,             0.00066394,             0.00066394,             0.00066394
                     44,                 1.4975,                0.74785,                 1.0101,                 0.9774,                0.98462,                0.99382,                0.54416,                 1.6583,                0.68439,                 1.0541,             0.00065982,             0.00065982,             0.00065982
                     45,                 1.5108,                 0.7617,                 1.0168,                0.98664,                      1,                  0.995,                 0.5248,                  1.679,                0.69497,                 1.0626,              0.0006557,              0.0006557,              0.0006557
                     46,                 1.4659,                0.72271,                 1.0016,                0.98498,                0.99687,                  0.995,                0.52948,                 1.6588,                0.68822,                 1.0636,             0.00065157,             0.00065157,             0.00065157
                     47,                 1.4813,                0.72175,                 1.0108,                0.98647,                0.99217,                  0.995,                0.54112,                  1.705,                0.65189,                 1.0663,             0.00064745,             0.00064745,             0.00064745
                     48,                  1.458,                0.72288,                0.98876,                0.98811,                0.99353,                  0.995,                0.55275,                 1.6304,                0.65508,                 1.0529,             0.00064333,             0.00064333,             0.00064333
                     49,                 1.4688,                0.70251,                 1.0144,                 0.9865,                0.99384,                  0.995,                 0.5349,                 1.6754,                0.69316,                 1.0675,              0.0006392,              0.0006392,              0.0006392
                     50,                 1.4867,                 0.7277,                  1.005,                0.98233,                0.98727,                0.99295,                0.54511,                 1.6969,                0.68239,                 1.0756,             0.00063508,             0.00063508,             0.00063508
                     51,                 1.4765,                0.71667,                 1.0082,                0.98445,                0.99805,                  0.995,                0.54099,                 1.6546,                0.67726,                 1.0599,             0.00063096,             0.00063096,             0.00063096
                     52,                 1.4797,                0.71482,                 1.0079,                0.98546,                0.99201,                0.99417,                0.55754,                 1.6397,                 0.6687,                 1.0482,             0.00062683,             0.00062683,             0.00062683
                     53,                 1.4513,                0.69944,                 1.0016,                0.98806,                0.98733,                0.99194,                0.53205,                 1.6974,                0.67136,                 1.0672,             0.00062271,             0.00062271,             0.00062271
                     54,                  1.456,                0.69558,                0.99106,                0.98688,                0.98131,                0.99382,                0.53361,                 1.6444,                0.68656,                 1.0641,             0.00061859,             0.00061859,             0.00061859
                     55,                 1.4755,                0.71152,                 1.0065,                0.98571,                0.99611,                  0.995,                0.53811,                 1.6856,                0.69077,                 1.0625,             0.00061446,             0.00061446,             0.00061446
                     56,                 1.4813,                0.72184,                 1.0031,                0.97864,                0.99037,                  0.995,                0.52293,                 1.7507,                0.67505,                 1.0956,             0.00061034,             0.00061034,             0.00061034
                     57,                 1.4747,                0.71664,                0.99589,                0.98739,                0.99138,                  0.995,                 0.4976,                 1.7897,                0.69798,                 1.0997,             0.00060622,             0.00060622,             0.00060622
                     58,                 1.4616,                 0.7066,                0.99498,                0.98584,                0.98899,                  0.995,                0.53626,                 1.6791,                0.67224,                 1.0613,             0.00060209,             0.00060209,             0.00060209
                     59,                 1.4304,                0.69613,                0.98974,                0.98879,                0.99958,                  0.995,                0.51949,                 1.7041,                0.67816,                 1.0689,             0.00059797,             0.00059797,             0.00059797
                     60,                 1.4158,                0.67924,                0.99249,                 0.9633,                0.98033,                0.98366,                0.52225,                 1.6949,                0.66978,                 1.0629,             0.00059385,             0.00059385,             0.00059385
                     61,                 1.4336,                0.68145,                 0.9969,                0.99049,                0.99476,                  0.995,                 0.5503,                 1.6593,                0.64921,                 1.0594,             0.00058972,             0.00058972,             0.00058972
                     62,                 1.4708,                0.68793,                0.99995,                0.99312,                0.99418,                  0.995,                0.52673,                 1.6742,                0.66664,                  1.061,              0.0005856,              0.0005856,              0.0005856
                     63,                 1.4313,                0.67819,                0.98724,                0.99024,                0.99993,                  0.995,                0.53164,                 1.6995,                0.65245,                 1.0713,             0.00058148,             0.00058148,             0.00058148
                     64,                 1.4061,                0.68074,                0.97687,                0.97505,                0.96875,                0.97508,                0.50308,                 1.7289,                0.65269,                 1.0811,             0.00057735,             0.00057735,             0.00057735
                     65,                 1.4635,                 0.6893,                 1.0045,                0.98227,                0.99148,                0.99412,                0.53033,                 1.7058,                0.65243,                 1.0694,             0.00057323,             0.00057323,             0.00057323
                     66,                 1.4298,                0.68984,                0.99986,                0.98899,                0.99653,                  0.995,                0.53054,                 1.6825,                0.65935,                  1.061,             0.00056911,             0.00056911,             0.00056911
                     67,                 1.4163,                0.67109,                0.99331,                 0.9869,                0.99886,                  0.995,                0.53582,                 1.7193,                0.64097,                 1.0744,             0.00056498,             0.00056498,             0.00056498
                     68,                 1.3913,                0.67405,                0.96883,                0.99133,                0.98628,                  0.995,                0.53783,                 1.6976,                0.62816,                 1.0706,             0.00056086,             0.00056086,             0.00056086
                     69,                 1.4043,                 0.6585,                0.99111,                0.98726,                0.98004,                  0.995,                0.53396,                 1.7081,                0.65017,                 1.0736,             0.00055674,             0.00055674,             0.00055674
                     70,                 1.4146,                 0.6602,                0.98366,                0.99165,                 0.9878,                  0.995,                0.54195,                 1.6877,                0.65384,                 1.0726,             0.00055261,             0.00055261,             0.00055261
                     71,                 1.4012,                0.65861,                0.98477,                0.99119,                0.99361,                  0.995,                0.54342,                 1.6599,                 0.6503,                 1.0544,             0.00054849,             0.00054849,             0.00054849
                     72,                 1.4018,                 0.6484,                0.97917,                0.99017,                0.98201,                  0.995,                0.53149,                 1.7296,                 0.6355,                 1.0812,             0.00054437,             0.00054437,             0.00054437
                     73,                 1.4041,                0.65059,                0.97944,                0.99225,                0.98739,                  0.995,                0.54588,                 1.6904,                0.63336,                 1.0609,             0.00054024,             0.00054024,             0.00054024
                     74,                 1.3791,                0.64756,                0.97296,                0.99141,                0.99331,                  0.995,                0.54348,                 1.6851,                0.62435,                 1.0614,             0.00053612,             0.00053612,             0.00053612
                     75,                 1.4031,                0.67092,                0.98818,                0.99224,                 0.9857,                0.99083,                0.53735,                 1.7443,                0.64478,                 1.0851,               0.000532,               0.000532,               0.000532
                     76,                  1.377,                0.64919,                0.97561,                0.99255,                0.98702,                  0.995,                 0.5407,                 1.6674,                0.62788,                 1.0628,             0.00052787,             0.00052787,             0.00052787
                     77,                 1.3962,                0.65822,                0.98219,                0.99038,                0.99034,                0.99321,                 0.5219,                  1.778,                0.63756,                 1.0905,             0.00052375,             0.00052375,             0.00052375
                     78,                 1.3838,                0.64328,                0.98053,                0.99242,                0.99219,                 0.9923,                0.53854,                 1.6875,                0.64365,                 1.0622,             0.00051963,             0.00051963,             0.00051963
                     79,                 1.3796,                0.62933,                0.97018,                0.98341,                0.99057,                0.99417,                0.55276,                 1.7033,                0.62044,                 1.0704,              0.0005155,              0.0005155,              0.0005155
                     80,                 1.3794,                0.64312,                0.97345,                0.98495,                0.98917,                0.99316,                0.51531,                 1.7841,                0.64188,                 1.0922,             0.00051138,             0.00051138,             0.00051138
                     81,                 1.3864,                0.63519,                0.97091,                0.98498,                0.98717,                0.98829,                0.52595,                 1.7528,                0.64491,                 1.0881,             0.00050726,             0.00050726,             0.00050726
                     82,                 1.3608,                0.63583,                0.97542,                0.98827,                0.99404,                  0.995,                0.53354,                 1.7333,                0.64267,                 1.0836,             0.00050313,             0.00050313,             0.00050313
                     83,                 1.3791,                0.63159,                0.97808,                0.98929,                0.99446,                  0.995,                0.56013,                 1.7161,                0.62332,                  1.071,             0.00049901,             0.00049901,             0.00049901
                     84,                 1.3536,                0.62982,                0.97313,                0.98158,                0.98869,                  0.995,                0.53232,                 1.7615,                0.66489,                 1.0844,             0.00049489,             0.00049489,             0.00049489
